"0.tcp.au.ngrok.io","domain|ip"
"132.89.160.61","ip-dst"
"132.89.160.62","ip-dst"
"132.89.160.63","ip-dst"
"132.89.160.64","ip-dst"
"132.89.160.65","ip-dst"
"132.89.160.66","ip-dst"
"132.89.160.67","ip-dst"
"132.89.160.68","ip-dst"
"132.89.160.69","ip-dst"
"132.89.160.7","ip-dst"
"132.89.160.70","ip-dst"
"132.89.160.71","ip-dst"
"132.89.160.72","ip-dst"
"132.89.160.73","ip-dst"
"132.89.160.74","ip-dst"
"132.89.160.75","ip-dst"
"132.89.160.76","ip-dst"
"132.89.160.77","ip-dst"
"132.89.160.78","ip-dst"
"132.89.160.79","ip-dst"
"132.89.160.8","ip-dst"
"132.89.160.80","ip-dst"
"132.89.160.81","ip-dst"
"132.89.160.82","ip-dst"
"132.89.160.83","ip-dst"
"132.89.160.84","ip-dst"
"132.89.160.85","ip-dst"
"132.89.160.86","ip-dst"
"132.89.160.87","ip-dst"
"132.89.160.88","ip-dst"
"132.89.160.89","ip-dst"
"132.89.160.9","ip-dst"
"132.89.160.90","ip-dst"
"132.89.160.91","ip-dst"
"132.89.160.92","ip-dst"
"132.89.160.93","ip-dst"
"132.89.160.94","ip-dst"
"132.89.160.95","ip-dst"
"132.89.160.96","ip-dst"
"132.89.160.97","ip-dst"
"132.89.160.98","ip-dst"
"132.89.160.99","ip-dst"
"134.223.156.4","ip-dst"
"138.182.219.0","ip-dst"
"138.182.219.1","ip-dst"
"138.182.219.10","ip-dst"
"138.182.219.100","ip-dst"
"138.182.219.101","ip-dst"
"138.182.219.102","ip-dst"
"138.182.219.103","ip-dst"
"138.182.219.104","ip-dst"
"138.182.219.105","ip-dst"
"138.182.219.106","ip-dst"
"138.182.219.107","ip-dst"
"138.182.219.108","ip-dst"
"138.182.219.109","ip-dst"
"138.182.219.11","ip-dst"
"138.182.219.110","ip-dst"
"138.182.219.111","ip-dst"
"138.182.219.112","ip-dst"
"138.182.219.113","ip-dst"
"138.182.219.114","ip-dst"
"138.182.219.115","ip-dst"
"138.182.219.116","ip-dst"
"138.182.219.117","ip-dst"
"138.182.219.118","ip-dst"
"138.182.219.119","ip-dst"
"138.182.219.12","ip-dst"
"138.182.219.120","ip-dst"
"138.182.219.121","ip-dst"
"138.182.219.122","ip-dst"
"138.182.219.123","ip-dst"
"138.182.219.124","ip-dst"
"138.182.219.125","ip-dst"
"138.182.219.126","ip-dst"
"138.182.219.127","ip-dst"
"138.182.219.128","ip-dst"
"138.182.219.129","ip-dst"
"138.182.219.13","ip-dst"
"138.182.219.130","ip-dst"
"138.182.219.131","ip-dst"
"138.182.219.132","ip-dst"
"138.182.219.133","ip-dst"
"138.182.219.134","ip-dst"
"138.182.219.135","ip-dst"
"138.182.219.136","ip-dst"
"138.182.219.137","ip-dst"
"138.182.219.138","ip-dst"
"138.182.219.139","ip-dst"
"138.182.219.14","ip-dst"
"138.182.219.140","ip-dst"
"138.182.219.141","ip-dst"
"138.182.219.142","ip-dst"
"138.182.219.143","ip-dst"
"138.182.219.144","ip-dst"
"138.182.219.145","ip-dst"
"138.182.219.146","ip-dst"
"138.182.219.147","ip-dst"
"138.182.219.148","ip-dst"
"138.182.219.149","ip-dst"
"138.182.219.15","ip-dst"
"138.182.219.150","ip-dst"
"138.182.219.151","ip-dst"
"138.182.219.152","ip-dst"
"138.182.219.153","ip-dst"
"138.182.219.154","ip-dst"
"138.182.219.155","ip-dst"
"138.182.219.156","ip-dst"
"138.182.219.157","ip-dst"
"138.182.219.158","ip-dst"
"138.182.219.159","ip-dst"
"138.182.219.16","ip-dst"
"138.182.219.160","ip-dst"
"138.182.219.161","ip-dst"
"138.182.219.162","ip-dst"
"138.182.219.163","ip-dst"
"138.182.219.164","ip-dst"
"138.182.219.165","ip-dst"
"138.182.219.166","ip-dst"
"138.182.219.167","ip-dst"
"138.182.219.168","ip-dst"
"138.182.219.169","ip-dst"
"138.182.219.17","ip-dst"
"138.182.219.170","ip-dst"
"138.182.219.171","ip-dst"
"138.182.219.172","ip-dst"
"138.182.219.173","ip-dst"
"138.182.219.174","ip-dst"
"138.182.219.175","ip-dst"
"138.182.219.176","ip-dst"
"138.182.219.177","ip-dst"
"138.182.219.178","ip-dst"
"138.182.219.179","ip-dst"
"138.182.219.18","ip-dst"
"138.182.219.180","ip-dst"
"138.182.219.181","ip-dst"
"138.182.219.182","ip-dst"
"138.182.219.183","ip-dst"
"138.182.219.184","ip-dst"
"138.182.219.185","ip-dst"
"138.182.219.186","ip-dst"
"138.182.219.187","ip-dst"
"138.182.219.188","ip-dst"
"138.182.219.189","ip-dst"
"138.182.219.19","ip-dst"
"138.182.219.190","ip-dst"
"138.182.219.191","ip-dst"
"138.182.219.192","ip-dst"
"138.182.219.193","ip-dst"
"138.182.219.194","ip-dst"
"138.182.219.195","ip-dst"
"138.182.219.196","ip-dst"
"138.182.219.197","ip-dst"
"138.182.219.198","ip-dst"
"138.182.219.199","ip-dst"
"138.182.219.2","ip-dst"
"138.182.219.20","ip-dst"
"138.182.219.200","ip-dst"
"138.182.219.201","ip-dst"
"138.182.219.202","ip-dst"
"138.182.219.203","ip-dst"
"138.182.219.204","ip-dst"
"138.182.219.205","ip-dst"
"138.182.219.206","ip-dst"
"138.182.219.207","ip-dst"
"138.182.219.208","ip-dst"
"138.182.219.209","ip-dst"
"138.182.219.21","ip-dst"
"138.182.219.210","ip-dst"
"138.182.219.211","ip-dst"
"138.182.219.212","ip-dst"
"138.182.219.213","ip-dst"
"138.182.219.214","ip-dst"
"138.182.219.215","ip-dst"
